Usuário;Computador;Ordem;Cod. Projeto;Cod. Lote;Cod. Pasta;Projeto;Lote;Pasta;Fase;Fase Destino;Imgs. Antes;Imgs. Depois;Docs. Antes;Docs. Depois;Início;Término;Tempo Gasto;Local;
Kayo;OCR;57282;19;1;34;2024;06;GERREC_PROCESSO_CONCURSO_RESOLUCAO_0030;Exportação;Finalizado;212;212;1;1;10/1/2024 08:56:32;10/1/2024 08:56:49;00:00:17;Local Padrão;
Kayo;OCR;57283;19;1;35;2024;06;GERREC_PROCESSO_SIMPLIFICADO_0016;Exportação;Finalizado;155;155;1;1;10/1/2024 08:56:50;10/1/2024 08:57:06;00:00:16;Local Padrão;
Kayo;OCR;57285;19;1;36;2024;06;GERREC_PROCESSO_SIMPLIFICADO_0013;Exportação;Finalizado;610;610;1;1;10/1/2024 08:57:06;10/1/2024 08:57:39;00:00:33;Local Padrão;
Kayo;OCR;57286;19;1;38;2024;06;GERREC_PROCESSO_EDUCACAO_0017;Exportação;Finalizado;938;938;1;1;10/1/2024 08:57:39;10/1/2024 08:58:29;00:00:50;Local Padrão;
Kayo;OCR;57287;19;1;39;2024;06;GERREC_PROCESSO_SIMPLIFICADO_SEJUV_0010;Exportação;Finalizado;183;183;1;1;10/1/2024 08:58:29;10/1/2024 08:58:48;00:00:19;Local Padrão;
Kayo;OCR;57288;19;1;40;2024;06;GERREC_PARECE_0001;Exportação;Finalizado;300;300;1;1;10/1/2024 08:58:48;10/1/2024 08:59:08;00:00:20;Local Padrão;
Total; ; ; ; ; ; ; ; ; ; ; ;18807; ;44; ; ;00:13:53; ;
Admin;OCR;57216;19;1;7;2024;06;GERREC_PROCESSO_PUBLICO_0028;Suspenso Exportação;Exportação;736;736;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57217;19;1;9;2024;06;GERREC_PROCESSOS_CONSULTAS_PARECER_0034;Suspenso Exportação;Exportação;96;96;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57218;19;1;10;2024;06;GERREC_PROCESSOS_PUBLICO_SMS_0018;Suspenso Exportação;Exportação;446;446;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57219;19;1;13;2024;06;GERREC_PROCESSOS_DESPACHOS_0022;Suspenso Exportação;Exportação;626;626;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57220;19;1;15;2024;06;GERREC_PROCESSO_SEINFRA_0026;Suspenso Exportação;Exportação;199;199;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57221;19;1;18;2024;06;GERREC_PROCESSO_HOMOLOCACAO_0032;Suspenso Exportação;Exportação;278;278;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57222;19;1;19;2024;06;GERREC_PROCESSOS_SEGURANCA_TRABALHO_0012;Suspenso Exportação;Exportação;237;237;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57223;19;1;21;2024;06;GERREC_PROCESSOS_CONTRATO_TSOT_0031;Suspenso Exportação;Exportação;613;613;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57224;19;1;22;2024;06;GERREC_PROCESSO_TRIBUTOS_0035;Suspenso Exportação;Exportação;296;296;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57225;19;1;23;2024;06;GERREC_PROCESSO_0002;Suspenso Exportação;Exportação;1048;1048;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57226;19;1;24;2024;06;GERREC_PROCESSO_COMITE_0021;Suspenso Exportação;Exportação;301;301;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57227;19;1;25;2024;06;GERREC_PROCESSO_PUBLICO_SMS_0008;Suspenso Exportação;Exportação;641;641;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57228;19;1;26;2024;06;GERREC_PROCESSOS_COMPROMETIMENTO_0036;Suspenso Exportação;Exportação;150;150;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57229;19;1;27;2024;06;GERREC_PROCESSO_SIMPLIFICADO_0007;Suspenso Exportação;Exportação;259;259;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57230;19;1;28;2024;06;GERREC_PROCESSOS_CONCURSO_PUBLICO_0003;Suspenso Exportação;Exportação;782;782;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57231;19;1;29;2024;06;GERREC_PROCESSO_COMURG_0029;Suspenso Exportação;Exportação;673;673;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57232;19;1;30;2024;06;GERREC_PROCESSO_ESTAVEIS_0020;Suspenso Exportação;Exportação;599;599;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57233;19;1;31;2024;06;GERREC_PROCESSOS_SEGURANCA_0014;Suspenso Exportação;Exportação;482;482;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57234;19;1;32;2024;06;GERREC_PROCESSO_SEINFRA_0025;Suspenso Exportação;Exportação;339;339;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57235;19;1;33;2024;06;GERREC_PROCESSO_TSDT_0005;Suspenso Exportação;Exportação;371;371;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57236;19;1;34;2024;06;GERREC_PROCESSO_CONCURSO_RESOLUCAO_0030;Suspenso Exportação;Exportação;212;212;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57237;19;1;35;2024;06;GERREC_PROCESSO_SIMPLIFICADO_0016;Suspenso Exportação;Exportação;155;155;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57238;19;1;36;2024;06;GERREC_PROCESSO_SIMPLIFICADO_0013;Suspenso Exportação;Exportação;610;610;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57239;19;1;38;2024;06;GERREC_PROCESSO_EDUCACAO_0017;Suspenso Exportação;Exportação;938;938;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57240;19;1;39;2024;06;GERREC_PROCESSO_SIMPLIFICADO_SEJUV_0010;Suspenso Exportação;Exportação;183;183;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;OCR;57241;19;1;40;2024;06;GERREC_PARECE_0001;Suspenso Exportação;Exportação;300;300;1;1;10/1/2024 08:38:47;10/1/2024 08:38:47;00:00:00;Local Padrão;
Admin;DESKTOP-M6H69Q6;57297;45;2;249;2024;09;AG_DOSSIE_0394;Controle de Qualidade;Controle de Qualidade;1564;1564;0;0;10/1/2024 10:18:41;10/1/2024 10:18:49;00:00:08;Local Padrão;
Admin;DESKTOP-M6H69Q6;57299;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 10:18:59;10/1/2024 10:43:33;00:24:34;Local Padrão;
Admin;DESKTOP-M6H69Q6;57300;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 10:50:18;10/1/2024 10:54:58;00:04:40;Local Padrão;
Total; ; ; ; ; ; ; ; ; ; ; ;14312; ;26; ; ;00:29:22; ;
Duane;DIGITALIZACAO-0;57212;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 07:05:19;10/1/2024 08:02:05;00:56:46;Local Padrão;
Duane;DIGITALIZACAO-0;57213;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 08:02:11;10/1/2024 08:05:20;00:03:09;Local Padrão;
Duane;DIGITALIZACAO-0;57291;45;2;247;2024;09;AG_DOSSIE_0494;Digitalização (Scanner);;0;589;0;0;10/1/2024 09:18:42;10/1/2024 09:25:51;00:07:09;Local Padrão;
